min_bars,tp_pct,sl_pct,time_stop_bars,n_trades,winrate,payoff,ev_gross,ev_net,sharpe,mdd,tp_hits,sl_hits,eod_exits,time_exits,flip_exits
22,0.012,0.006,0,332,0.238,0.82,0.0002,-0.0023,-13.431,-0.528,9,44,255,0,24
22,0.003,0.006,0,425,0.36,0.27,0.00018,-0.00232,-21.697,-0.6221,141,48,212,0,24
22,0.012,0.002,0,358,0.2011,0.862,0.00017,-0.00233,-15.23,-0.5621,6,170,179,0,3
22,0.003,0.002,0,457,0.2976,0.295,0.00016,-0.00234,-24.086,-0.6548,128,201,126,0,2
22,0.008,0.006,0,348,0.2356,0.729,0.00014,-0.00236,-15.615,-0.5541,27,45,252,0,24
30,0.003,0.006,0,381,0.3438,0.259,0.00013,-0.00237,-22.191,-0.5886,122,38,202,0,19
22,0.005,0.002,0,412,0.233,0.571,0.00012,-0.00238,-20.902,-0.6233,68,191,150,0,3
22,0.008,0.002,0,376,0.1995,0.77,0.00012,-0.00238,-17.537,-0.5887,22,176,175,0,3
22,0.005,0.006,0,381,0.2756,0.525,0.00012,-0.00238,-18.839,-0.5906,75,46,236,0,24
22,0.003,0.004,0,439,0.3349,0.274,0.00011,-0.00239,-22.22,-0.6476,138,106,179,0,16
22,0.012,0.004,0,342,0.2193,0.819,0.00011,-0.00239,-14.409,-0.5543,7,92,227,0,16
30,0.003,0.002,0,409,0.2787,0.276,8e-05,-0.00242,-25.341,-0.6256,109,180,118,0,2
30,0.012,0.006,0,302,0.2053,0.88,7e-05,-0.00243,-14.374,-0.5128,7,35,241,0,19
22,0.008,0.004,0,360,0.2167,0.741,5e-05,-0.00245,-16.514,-0.5825,25,94,225,0,16
22,0.005,0.004,0,391,0.2558,0.539,5e-05,-0.00245,-19.246,-0.6134,72,103,200,0,16
30,0.005,0.006,0,342,0.2515,0.534,5e-05,-0.00245,-19.722,-0.5611,62,35,226,0,19
22,0.012,0.002,5,457,0.1466,0.863,4e-05,-0.00246,-20.018,-0.6738,4,148,23,280,2
30,0.008,0.006,0,317,0.2019,0.812,3e-05,-0.00247,-16.41,-0.5364,24,36,238,0,19
40,0.003,0.002,0,342,0.2544,0.26,3e-05,-0.00247,-22.303,-0.5704,83,147,111,0,1
22,0.003,0.002,5,543,0.1952,0.337,3e-05,-0.00247,-26.605,-0.7373,94,169,23,256,1
22,0.012,0.006,5,433,0.1663,0.879,2e-05,-0.00248,-20.577,-0.6536,6,38,23,344,22
22,0.008,0.002,5,470,0.1468,0.764,1e-05,-0.00249,-21.173,-0.6878,14,151,23,280,2
22,0.003,0.006,5,513,0.2222,0.342,1e-05,-0.00249,-26.287,-0.718,103,40,23,325,22
22,0.005,0.002,5,501,0.1637,0.581,-0.0,-0.0025,-24.055,-0.7133,49,161,23,266,2
30,0.005,0.002,0,372,0.2043,0.574,-0.0,-0.0025,-21.815,-0.6029,54,172,143,0,3
30,0.012,0.002,0,330,0.1636,0.923,0.0,-0.0025,-16.624,-0.5576,4,156,167,0,3
30,0.003,0.004,0,394,0.3173,0.255,0.0,-0.0025,-22.729,-0.6236,119,92,168,0,15
22,0.003,0.004,5,523,0.2141,0.331,-1e-05,-0.00251,-25.081,-0.7304,100,94,23,293,13
22,0.012,0.004,5,442,0.1606,0.826,-2e-05,-0.00252,-19.968,-0.6688,5,83,23,318,13
40,0.008,0.002,0,288,0.1562,0.85,-2e-05,-0.00252,-16.366,-0.5153,13,131,142,0,2
22,0.008,0.006,5,446,0.1659,0.767,-3e-05,-0.00253,-21.783,-0.6718,18,39,23,344,22
30,0.008,0.002,0,347,0.1614,0.861,-3e-05,-0.00253,-18.691,-0.5811,19,163,162,0,3
40,0.012,0.002,0,281,0.1566,0.806,-3e-05,-0.00253,-16.126,-0.5081,3,126,150,0,2
22,0.005,0.006,5,476,0.1849,0.575,-3e-05,-0.00253,-23.736,-0.6967,57,39,23,335,22
40,0.005,0.002,0,316,0.1772,0.624,-4e-05,-0.00254,-20.808,-0.551,42,141,131,0,2
40,0.003,0.004,0,326,0.2914,0.238,-4e-05,-0.00254,-19.814,-0.5639,91,70,155,0,10
30,0.003,0.006,5,470,0.1979,0.321,-5e-05,-0.00255,-25.731,-0.6947,85,32,23,313,17
22,0.005,0.004,5,483,0.1781,0.567,-5e-05,-0.00255,-22.667,-0.7062,54,87,23,306,13
30,0.003,0.002,5,495,0.1697,0.307,-5e-05,-0.00255,-26.75,-0.7151,75,147,23,249,1
40,0.003,0.006,0,321,0.2991,0.233,-5e-05,-0.00255,-18.354,-0.56,92,32,184,0,13
22,0.008,0.004,5,455,0.1604,0.737,-6e-05,-0.00256,-21.049,-0.6855,16,86,23,317,13
30,0.012,0.004,0,312,0.1859,0.86,-8e-05,-0.00258,-15.512,-0.5494,5,82,210,0,15
30,0.012,0.006,5,404,0.1361,0.913,-9e-05,-0.00259,-22.134,-0.6435,3,30,23,331,17
40,0.012,0.004,0,263,0.1749,0.751,-9e-05,-0.00259,-14.715,-0.4949,3,60,190,0,10
30,0.005,0.002,5,461,0.1367,0.573,-9e-05,-0.00259,-24.365,-0.6952,36,141,23,259,2
30,0.005,0.004,0,353,0.2295,0.538,-9e-05,-0.00259,-20.059,-0.5963,59,90,189,0,15
30,0.005,0.006,5,436,0.1606,0.582,-9e-05,-0.00259,-23.554,-0.6719,44,30,23,322,17
40,0.008,0.004,0,271,0.1734,0.808,-0.0001,-0.0026,-14.984,-0.5066,14,63,184,0,10
30,0.012,0.002,5,430,0.114,0.877,-0.0001,-0.0026,-22.163,-0.6707,1,133,23,271,2
40,0.003,0.002,5,424,0.1392,0.304,-0.0001,-0.0026,-25.664,-0.6681,52,115,24,233,0
30,0.003,0.004,5,479,0.19,0.303,-0.00011,-0.00261,-24.994,-0.7121,82,80,23,282,12
40,0.008,0.006,0,266,0.1767,0.8,-0.00011,-0.00261,-14.039,-0.5016,14,29,210,0,13
40,0.005,0.002,5,398,0.1156,0.59,-0.00012,-0.00262,-24.067,-0.6483,25,111,23,238,1
40,0.008,0.002,5,383,0.1018,0.737,-0.00012,-0.00262,-22.946,-0.6339,6,107,23,246,1
30,0.008,0.002,5,441,0.1134,0.817,-0.00012,-0.00262,-22.859,-0.6825,11,138,23,267,2
30,0.008,0.004,0,329,0.1824,0.814,-0.00013,-0.00263,-17.401,-0.575,22,84,208,0,15
40,0.012,0.006,0,260,0.1769,0.74,-0.00013,-0.00263,-13.873,-0.4959,3,28,216,0,13
40,0.005,0.004,0,297,0.1953,0.585,-0.00013,-0.00263,-18.877,-0.5426,44,69,174,0,10
40,0.012,0.002,5,376,0.1011,0.792,-0.00013,-0.00263,-22.382,-0.6273,1,104,23,247,1
30,0.008,0.006,5,415,0.1349,0.829,-0.00013,-0.00263,-22.553,-0.6591,15,31,23,329,17
40,0.005,0.006,0,293,0.198,0.578,-0.00014,-0.00264,-17.373,-0.5406,44,29,207,0,13
30,0.005,0.004,5,444,0.1532,0.561,-0.00015,-0.00265,-22.836,-0.6891,41,74,23,294,12
40,0.003,0.004,5,411,0.1509,0.291,-0.00016,-0.00266,-22.664,-0.6667,55,57,24,268,7
30,0.012,0.004,5,413,0.1308,0.829,-0.00017,-0.00267,-21.63,-0.6652,2,73,23,303,12
40,0.005,0.004,5,385,0.1221,0.573,-0.00019,-0.00269,-21.637,-0.6461,26,52,23,277,7
40,0.012,0.004,5,363,0.1102,0.738,-0.00019,-0.00269,-20.178,-0.6237,1,50,23,282,7
40,0.008,0.004,5,371,0.1105,0.719,-0.00019,-0.00269,-20.633,-0.633,7,53,23,281,7
30,0.008,0.004,5,424,0.1297,0.78,-0.0002,-0.0027,-22.068,-0.6791,13,76,23,300,12
40,0.003,0.006,5,408,0.152,0.286,-0.00021,-0.00271,-21.067,-0.6708,55,27,24,292,10
40,0.008,0.006,5,368,0.1114,0.706,-0.00024,-0.00274,-19.051,-0.6372,7,25,23,303,10
40,0.005,0.006,5,383,0.1227,0.562,-0.00025,-0.00275,-19.974,-0.6525,26,25,23,299,10
40,0.012,0.006,5,362,0.1105,0.722,-0.00025,-0.00275,-18.792,-0.6322,1,24,23,304,10
